feature,non_null_rate,unique_count,drop_reason
d180_apl_ord_days_cnt,0.4376336159985952,76,
first_day_diff_event_result_1_all,1.0,2940,
unpaid_principal_future_light_add_heavy,1.0,131771,
d30_d60_apl_ord_cnt_rat,0.4376336159985952,169,
his_360_day_csh_apl_ord_cnt_his_rto,0.9982276418448043,3475,
d180_apl_ord_days_cnt_all,0.448516875177389,171,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,0.4376336159985952,360,
pmt_crd_amt_3m,1.0,109071,
clk_cnt_14d,1.0,715,
first_day_diff_event_result_0_event_type_loan_all,0.611920946292239,3227,
d30_apl_ord_days_cnt,0.4376336159985952,19,
d60_apl_ord_prc_amt_avg,0.4376336159985952,12303,
min_rsk_lmt_rate_12m_bt_ch,0.491416926837137,117441,
pge_id_cnt_90d,1.0,368,
ord_apl_avg_prc_amt_720_day_per_mth,1.0,9906,
ddf_mdl_max_dau_dt_90d,0.31085896072021446,90,
d180_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,0.2900480456075942,109273,
rsk_lmt_rate_ch_1m_grt_0p2_rate_6m,0.41820097479698537,2366,
cnt_avg_ord_span_30d,0.12862868892459922,1702,
rsk_avl_lmt_ch_les_10000_cnt_12m,0.4508425847842644,127,
pst_ord_apl_suc_max_prc_amt_180_day,1.0,581,
his_due_repay_amt_avg_divide_his_faqi_trade_amt_avg,0.996381775747688,275653,
d60_apl_ord_ddf_mdl_ord_crt_dte_max,0.20793354882050383,60,
d365_aplord_suc_month_cnt,0.4512652554503076,14,
rsi_abf_1y_inter_1m,0.4664099333732182,182163,
ord_apl_suc_sum_stg_num_180_day,1.0,174,
d360_apl_ord_stg_num_sum_all,0.448516875177389,1553,
max_ddf_lag_crt_dte,0.770926792215509,2632,
18m_used_lmt_second_der_mean_rto,0.34939958304661833,134340,
avg_avl_lmt_lft_rep_prc_3m_cash_1m,0.309523566441991,141343,
his_30d_app_str_ctn_v2,0.3149713216932146,297,
d7_d360_suc_ord_prc_amt_avg_rat_all,0.37834946083966486,7748,
d180_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,0.33722585110966363,33462,
3m_used_lmt_first_der_mean_rto,0.3488380640458363,157705,
his_7d_app_str_ctn_v2,0.3149713216932146,115,
used_rate_ch_grt_0p5_rate_3m,0.25658355504826,242,
3m_repay_ftr_amt_first_der_mean_rto,0.3200515372348354,116525,
his_max_faqi_prc_amt_divide_max_ontim_amt_sum_mon,0.9206052970639703,326422,
3m_repay_amt_first_der_mean_rto,0.3491668078972032,130952,
d360_due_repay_amt_avg_divide_d360_faqi_trade_amt_avg,0.3912643978576519,160974,
stg_pln_sum_rep_prc_his_fst_ord,1.0,40393,
avg_avl_lmt_lft_rep_prc_all_cash_36m,0.6340611300212561,292755,
ftr_pending_repay_gurantee_fee_sum_divide_ftr_principal_sum,0.31161037523762464,132610,
d180_apl_ord_ddf_mdl_ord_crt_dte_max,0.3372278929969392,180,
rsk_avl_lmt_ch_1m_les_1000_rate_6m,0.41820097479698537,4544,
d90_aplord_suc_month_cnt,0.2647551879250954,5,
first_amt_event_type_credit_all,0.7682600874336132,3576,
m3_stg_pln_bnk_cnt_avg,0.3344264236548557,2139,
stg_pln_sum_rep_prc_his_d0_mrn_pk_rto_v2,0.9962715138348073,350503,
d720_max_due_prc_amt_divide_d720_max_faqi_prc_amt,0.5296308471994495,130909,
ord_apl_fal_cnt_his,1.0,178,
6m_used_lmt_first_der_max,0.9990464386423084,164170,
sum_avb_lmt_2m_v2,0.3395066391964765,155177,
ord_apl_cnt_13_18,1.0,123,
stg_pln_sum_rep_prc_his_d0_mrn_zd_rto_v2,0.9962715138348073,272814,
min_rsk_lmt_rate_3m_bt_ch,0.3714621750591637,127235,
credit_reject_cnt_12m,0.2151679554378521,47,
ord_apl_min_prc_amt_his,1.0,18952,
12m_repay_amt_second_der_mean_diff,0.5052282523690997,125456,
d360_max_due_prc_amt_divide_d360_max_faqi_prc_amt,0.4007979695472932,105695,
6m_used_lmt_second_der_sum,0.9820865229314151,191747,
3m_used_lmt_second_der_mean_diff,0.9990505224168594,176779,
d90_avg_due_pay_amt_sum_by_mon_divide_rsk_adt_lmt_cash,0.34150973061381174,157218,
d360_due_repay_amt_sum_divide_d360_faqi_trade_amt_sum,0.3912643978576519,161319,
rsk_avl_lmt_ch_1m_les_1000_cnt_24m,0.6280457301074237,430,
6stg_pln_repay_amt_second_der_sum,0.4923521112093486,204455,
max_ddf_mdl_rep_dte_his_bjq,0.6344899263491259,367,
d180_apl_ord_prc_amt_avg,0.4376336159985952,20680,
d1080_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,0.6816207684438573,62249,
3stg_pln_repay_amt_first_der_mean_diff,0.5166076901558573,204430,
d1080_unpaid_principal_tot_amt_t_day_divide_rsk_adt_lmt_cash_his_t_day_max,0.67555227946086,83916,
stg_pln_min_prc_amt_3m_6m_ftr_rto_cash,0.2972252793812265,54569,
sum_talk_duration_180d,0.16124988003912255,2878,
ord_apl_suc_sum_prc_amt_360_day_13_18_bjq_12m,0.6880282107145993,17199,
6stg_pln_repay_amt_second_der_median,0.4923521112093486,165831,
ord_apl_sum_prc_amt_360_day_bjq_12m,0.6880282107145993,41014,
12m_repay_amt_first_der_median,0.46644872923145403,43664,
m6_manual_work_day_rep_apl_suc_cnt_rat,0.30094559799731696,1145,
ord_apl_suc_cnt_720_day_13_18,1.0,84,
stg_pln_max_prc_amt_adv_rct_6m,1.0,27059,
36stg_pln_repay_amt_second_der_mean_diff,0.4923521112093486,213564,
max_con_dau_7d,1.0,8,
abf_1y_inter_1m_count_up,0.9996385859522239,23,
his_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,0.5848536885672689,164555,
stg_pln_avg_prc_amt_12m_ftr_his_rto_all,0.3574487026869195,149334,
stddev_amt_event_type_repay_all,0.9987830351837597,365270,
af_q2_q1_trend,0.35245424641087264,94354,
ddf_36m_rep_dte_0_crt_dt_rep_prc_amt_rto,0.18739624660281004,86913,
3stg_pln_repay_amt_first_der_stddev,0.5166076901558573,180064,
d90_suc_ord_prc_amt_sum_all,0.37834946083966486,3995,
rsk_avl_lmt_ch_1m_les_500_rate_3m,0.3723708148967928,1900,
min_amt_event_type_credit_event_result_1,0.9895169507272181,3073,
3m_repay_ftr_amt_second_der_mean_diff,0.3376199353538489,73366,
18ord_apply_amt_first_der_min,0.27333111448249386,109603,
12m_used_lmt_second_der_mean_diff,0.9820906067059662,222003,
credit_unique_scene_cnt_12m,0.47828963354249066,6,
stg_pln_min_prc_amt_3m_ftr_his_rto_cash,0.3492525671627772,64981,
rsk_lmt_rate_ch_1m_grt_0p5_cnt_3m,0.38127956908010935,253,
d30_apl_ord_prc_amt_avg_all,0.448516875177389,11434,
rsk_lmt_rate_ch_1m_grt_0p5_cnt_24m,0.6280457301074237,823,
3stg_pln_repay_amt_first_der_mean_rto,0.49200090659795037,207675,
